==1875== NVPROF is profiling process 1875, command: ./Release/ssai-2dstencil
==1875== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1875== Profiling application: ./Release/ssai-2dstencil
==1875== Profiling result:
==1875== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla P100-SXM2-16GB (0)"
    Kernel: void stencil2d_121pt::j2d121pt<double, int=128, int=8>(double const *, stencil2d_121pt::j2d121pt<double, int=128, int=8>*, int, int)
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)    18300928    18300928    18300928
          1             nvlink_total_data_transmitted                                         NVLink Total Data Transmitted           0           0           0
          1                nvlink_total_data_received                                            NVLink Total Data Received           0           0           0
          1              nvlink_user_data_transmitted                                          NVLink User Data Transmitted           0           0           0
          1                 nvlink_user_data_received                                             NVLink User Data Received           0           0           0
          1          nvlink_overhead_data_transmitted                                      NVLink Overhead Data Transmitted       0.00%       0.00%       0.00%
          1             nvlink_overhead_data_received                                         NVLink Overhead Data Received       0.00%       0.00%       0.00%
          1      nvlink_total_nratom_data_transmitted                                  NVLink Total Nratom Data Transmitted           0           0           0
          1       nvlink_user_nratom_data_transmitted                                   NVLink User Nratom Data Transmitted           0           0           0
          1       nvlink_total_ratom_data_transmitted                                   NVLink Total Ratom Data Transmitted           0           0           0
          1        nvlink_user_ratom_data_transmitted                                    NVLink User Ratom Data Transmitted           0           0           0
          1       nvlink_total_write_data_transmitted                                   NVLink Total Write Data Transmitted           0           0           0
          1        nvlink_user_write_data_transmitted                                    NVLink User Write Data Transmitted           0           0           0
          1                nvlink_transmit_throughput                                            NVLink Transmit Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                 nvlink_receive_throughput                                             NVLink Receive Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1       nvlink_total_response_data_received                                   NVLink Total Response Data Received           0           0           0
          1        nvlink_user_response_data_received                                    NVLink User Response Data Received           0           0           0
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1                                       ipc                                                          Executed IPC    1.354532    1.354532    1.354532
          1                                issued_ipc                                                            Issued IPC    1.354731    1.354731    1.354731
          1                    issue_slot_utilization                                                Issue Slot Utilization      60.51%      60.51%      60.51%
          1                             sm_efficiency                                               Multiprocessor Activity      99.80%      99.80%      99.80%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.512736    0.512736    0.512736
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    4.089503    4.089503    4.089503
          1                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                            l2_utilization                                                  L2 Cache Utilization     Low (2)     Low (2)     Low (2)
          1                           tex_utilization                                             Unified Cache Utilization     Low (2)     Low (2)     Low (2)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1                    special_fu_utilization                                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Max (10)    Max (10)    Max (10)
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)      93.13%      93.13%      93.13%
          1                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1               pcie_total_data_transmitted                                           PCIe Total Data Transmitted         512         512         512
          1                  pcie_total_data_received                                              PCIe Total Data Received           0           0           0
          1                inst_executed_global_loads                              Warp level instructions for global loads     6875136     6875136     6875136
          1                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          1                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores     3055616     3055616     3055616
          1                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          1               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          1           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads  1641230016  1641230016  1641230016
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1                           dram_read_bytes                                Total bytes read from DRAM to L2 cache   541547104   541547104   541547104
          1                          dram_write_bytes                             Total bytes written from L2 cache to DRAM   540081536   540081536   540081536
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.   585629696   585629696   585629696
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor    27500544    27500544    27500544
          1                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor    18300928    18300928    18300928
          1                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
          1                           l2_tex_hit_rate                                                     L2 Cache Hit Rate      57.18%      57.18%      57.18%
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                     unique_warps_launched                                              Number of warps launched      385024      385024      385024
